Port Name,Full path name,Required Interface,Operations,Direction,Return Type
p_lighting_Init,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_Init,If_BCM_Lighting,Bcm_Lighting_Init,provided,void
p_lighting_GetMaxCurrentMa,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_GetMaxCurrentMa,If_BCM_Lighting,Bcm_Lighting_GetMaxCurrentMa,provided,uint16_t
p_lighting_SetMaxCurrentMa,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_SetMaxCurrentMa,If_BCM_Lighting,Bcm_Lighting_SetMaxCurrentMa,provided,void
p_lighting_GetDimRatePctS,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_GetDimRatePctS,If_BCM_Lighting,Bcm_Lighting_GetDimRatePctS,provided,uint16_t
p_lighting_SetDimRatePctS,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_SetDimRatePctS,If_BCM_Lighting,Bcm_Lighting_SetDimRatePctS,provided,void
p_lighting_GetFadeMs,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_GetFadeMs,If_BCM_Lighting,Bcm_Lighting_GetFadeMs,provided,uint16_t
p_lighting_SetFadeMs,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_SetFadeMs,If_BCM_Lighting,Bcm_Lighting_SetFadeMs,provided,void
p_lighting_GetTrimOffset,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_GetTrimOffset,If_BCM_Lighting,Bcm_Lighting_GetTrimOffset,provided,uint16_t
p_lighting_SetTrimOffset,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_SetTrimOffset,If_BCM_Lighting,Bcm_Lighting_SetTrimOffset,provided,void
p_lighting_ReadSwitch,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_ReadSwitch,If_BCM_Lighting,Bcm_Lighting_ReadSwitch,provided,uint16_t
p_lighting_ReadBusVoltage,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_ReadBusVoltage,If_BCM_Lighting,Bcm_Lighting_ReadBusVoltage,provided,uint16_t
p_lighting_ReadAmbientLux,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_ReadAmbientLux,If_BCM_Lighting,Bcm_Lighting_ReadAmbientLux,provided,uint16_t
p_lighting_ReadAux01,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_ReadAux01,If_BCM_Lighting,Bcm_Lighting_ReadAux01,provided,uint16_t
p_lighting_ReadAux02,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_ReadAux02,If_BCM_Lighting,Bcm_Lighting_ReadAux02,provided,uint16_t
p_lighting_ReadAux03,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_ReadAux03,If_BCM_Lighting,Bcm_Lighting_ReadAux03,provided,uint16_t
p_lighting_Compute,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_Compute,If_BCM_Lighting,Bcm_Lighting_Compute,provided,uint16_t
p_lighting_SelfTest,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_SelfTest,If_BCM_Lighting,Bcm_Lighting_SelfTest,provided,uint8_t
p_lighting_Step,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_Step,If_BCM_Lighting,Bcm_Lighting_Step,provided,void
p_lighting_GetState,Components::P_SW_Components::BodyControl::P10_SW_Arch_Public::lighting.p_lighting_GetState,If_BCM_Lighting,Bcm_Lighting_GetState,provided,Bcm_Lighting_State_t*
